Time [s]	Rotating hub Mx  [kNm]	Rotating hub My  [kNm]	Rotating hub Mz  [kNm]	Rotating hub Fx  [kN]	Rotating hub Fy  [kN]	Rotating hub Fz  [kN]	Stationary hub Mx  [kNm]	Stationary hub My  [kNm]	Stationary hub Mz  [kNm]	Stationary hub Fx  [kN]	Stationary hub Fy  [kN]	Stationary hub Fz  [kN]	Rotor speed  [rad/s]	
0	300.259	-120.101	-1249.33	175.264	764.125	-261.425	300.259	-1220.41	-293.016	175.264	1.47992	-807.606	0.570091
0.05	300.719	-219.793	-1188.58	172.297	754.869	-286.304	300.719	-1189.82	-212.976	172.297	-2.04681	-807.337	0.570073
0.1	307.131	-330.582	-1113.67	171.53	746.634	-303.597	307.131	-1155.91	-115.897	171.53	1.84122	-805.996	0.570246
0.15	319.546	-421.083	-1052.53	173.439	738.89	-321.513	319.546	-1132.88	-41.2949	173.439	5.30197	-805.793	0.570249
0.2	332.618	-491.34	-994.081	175.645	731.503	-342.792	332.618	-1108.78	15.0138	175.645	5.88513	-807.817	0.570201
0.25	345.176	-562.973	-947.241	177.003	719.61	-363.329	345.176	-1099.78	68.5124	177.003	5.21256	-806.114	0.570362
0.3	354.52	-634.326	-921.495	179	704.674	-383.088	354.52	-1113.09	112.058	179	3.68538	-802.065	0.570239
0.35	354.437	-696.451	-904.301	178.813	693.429	-403.869	354.437	-1132.47	142.564	178.813	2.9295	-802.462	0.570025
0.4	344.475	-756.203	-909.038	177.198	683.117	-424.057	344.475	-1171.8	158.368	177.198	3.20694	-804.029	0.569652
0.45	324.841	-800.372	-915.047	178.102	669.931	-442.843	324.841	-1205.33	158.362	178.102	3.15019	-803.061	0.569336
0.5	302.267	-822.953	-948.523	179.692	652.744	-463.055	302.267	-1249.72	123.065	179.692	-0.423938	-800.309	0.5692
0.55	282.409	-851.871	-1001.03	180.198	640.185	-483.38	282.409	-1312.06	79.0036	180.198	-1.44609	-802.179	0.569003
0.6	268.079	-925.052	-1061.5	182.097	633.723	-499.401	268.079	-1406.69	61.1461	182.097	4.81722	-806.835	0.568922
0.65	264.858	-993.811	-1136.03	184.896	622.697	-516.026	264.858	-1509.17	25.505	184.896	7.94866	-808.685	0.568813
0.7	269.19	-1042.89	-1195.64	188.618	606.057	-533.903	269.19	-1586.43	-20.6066	188.618	6.51569	-807.66	0.568536
0.75	282.34	-1106.42	-1256.49	190.873	587.665	-549.37	282.34	-1673.07	-61.4397	190.873	5.59169	-804.442	0.568567
0.8	302.522	-1179.21	-1288.7	194.641	574.478	-564.465	302.522	-1744.94	-80.409	194.641	8.45869	-805.341	0.568459
0.85	321.503	-1246.03	-1325.8	197.382	557.99	-580.7	321.503	-1816.03	-111.16	197.382	8.20322	-805.294	0.5682
0.9	338.072	-1310.64	-1355.02	197.144	537.309	-595.575	338.072	-1879.85	-141.607	197.144	5.73831	-802.108	0.568319
0.95	348.783	-1347.95	-1359.9	196.056	516.91	-612.971	348.783	-1906.77	-174.693	196.056	1.71281	-801.827	0.568066
1	348.613	-1366.09	-1341.32	195.137	499.015	-630.648	348.613	-1903.72	-202.94	195.137	-0.523844	-804.197	0.567982
1.05	345.065	-1380.72	-1286.57	195.997	484.707	-644.043	345.065	-1876.14	-204.316	195.997	2.84122	-806.055	0.568496
1.1	342.075	-1400.84	-1250.25	196.61	467.204	-656.965	342.075	-1865.13	-216.285	196.61	4.00425	-806.143	0.56873
1.15	335.588	-1409.64	-1222.23	196.894	448.735	-673.122	335.588	-1850.09	-241.013	196.894	2.60613	-808.981	0.568842
1.2	328.827	-1420.85	-1183.39	197.576	431.051	-685.923	328.827	-1831.5	-254.642	197.576	3.83838	-810.111	0.569042
1.25	319.732	-1442.01	-1128.67	199.659	413.14	-691.736	319.732	-1814.23	-248.698	199.659	8.47847	-805.674	0.568775
1.3	307.881	-1451.83	-1076.95	202.499	392.911	-700.494	307.881	-1790.28	-250.078	202.499	9.42994	-803.108	0.568795
1.35	299.575	-1475.72	-1057.47	205.273	367.699	-712.917	299.575	-1794.89	-272.695	205.273	4.16119	-802.145	0.56878
1.4	289.875	-1510.19	-1045.45	205.901	342.455	-723.138	289.875	-1812.41	-297.976	205.901	-0.230344	-800.127	0.568229
1.45	278.401	-1508.13	-1021.33	205.328	320.892	-733.212	278.401	-1791.63	-328.072	205.328	-1.30106	-800.356	0.568019
1.5	272.53	-1499.84	-986.177	205.325	302.932	-739.779	272.53	-1760.69	-349.364	205.325	2.31616	-799.397	0.567949
1.55	272.577	-1497.91	-965.265	204.84	283.646	-748.429	272.577	-1740.93	-380.297	204.84	3.91808	-800.366	0.567984
1.6	283.227	-1522.87	-974.312	203.93	259.885	-759.082	283.227	-1755.97	-430.093	203.93	0.72175	-802.337	0.568332
