#ux [mm]; Fy [N]; Fx [N]
-0.2;1.10E+06;407351
-0.184;1.10E+06;410015
-0.168;1.10E+06;413258
-0.152;1.10E+06;416966
-0.136;1.10E+06;421260
-0.12;1.10E+06;426500
-0.104;1.10E+06;432820
-0.088;1.10E+06;440726
-0.072;1.10E+06;450987
-0.056;1.10E+06;464786
-0.04;1.10E+06;484327
-0.024;1.10E+06;513639
-0.008;1.10E+06;560892
0.008;1.10E+06;641904
0.024;1.10E+06;751259
0.04;1.10E+06;876034
0.056;1.10E+06;1.01E+06
0.072;1.10E+06;1.16E+06
0.088;1.10E+06;1.31E+06
0.104;1.10E+06;1.46E+06
0.12;1.10E+06;1.62E+06
0.136;1.10E+06;1.78E+06
0.152;1.10E+06;1.95E+06
0.168;1.10E+06;2.12E+06
0.184;1.10E+06;2.30E+06
0.2;1.10E+06;2.47E+06
-0.2;1.20E+06;445627
-0.184;1.20E+06;448550
-0.168;1.20E+06;452037
-0.152;1.20E+06;455953
-0.136;1.20E+06;460516
-0.12;1.20E+06;466021
-0.104;1.20E+06;472590
-0.088;1.20E+06;480681
-0.072;1.20E+06;491097
-0.056;1.20E+06;504702
-0.04;1.20E+06;523422
-0.024;1.20E+06;550531
-0.008;1.20E+06;592326
0.008;1.20E+06;661025
0.024;1.20E+06;763989
0.04;1.20E+06;885212
0.056;1.20E+06;1.02E+06
0.072;1.20E+06;1.16E+06
0.088;1.20E+06;1.31E+06
0.104;1.20E+06;1.46E+06
0.12;1.20E+06;1.62E+06
0.136;1.20E+06;1.79E+06
0.152;1.20E+06;1.95E+06
0.168;1.20E+06;2.12E+06
0.184;1.20E+06;2.30E+06
0.2;1.20E+06;2.47E+06
-0.2;1.30E+06;483994
-0.184;1.30E+06;487167
-0.168;1.30E+06;490888
-0.152;1.30E+06;494994
-0.136;1.30E+06;499857
-0.12;1.30E+06;505578
-0.104;1.30E+06;512401
-0.088;1.30E+06;520699
-0.072;1.30E+06;531242
-0.056;1.30E+06;544725
-0.04;1.30E+06;562834
-0.024;1.30E+06;588319
-0.008;1.30E+06;626013
0.008;1.30E+06;684861
0.024;1.30E+06;778670
0.04;1.30E+06;895613
0.056;1.30E+06;1.03E+06
0.072;1.30E+06;1.17E+06
0.088;1.30E+06;1.31E+06
0.104;1.30E+06;1.47E+06
0.12;1.30E+06;1.63E+06
0.136;1.30E+06;1.79E+06
0.152;1.30E+06;1.96E+06
0.168;1.30E+06;2.13E+06
0.184;1.30E+06;2.30E+06
0.2;1.30E+06;2.48E+06
-0.2;1.40E+06;522451
-0.184;1.40E+06;525911
-0.168;1.40E+06;529819
-0.152;1.40E+06;534087
-0.136;1.40E+06;539234
-0.12;1.40E+06;545182
-0.104;1.40E+06;552231
-0.088;1.40E+06;560721
-0.072;1.40E+06;571383
-0.056;1.40E+06;584811
-0.04;1.40E+06;602483
-0.024;1.40E+06;626581
-0.008;1.40E+06;661221
0.008;1.40E+06;713333
0.024;1.40E+06;795739
0.04;1.40E+06;907509
0.056;1.40E+06;1.04E+06
0.072;1.40E+06;1.17E+06
0.088;1.40E+06;1.32E+06
0.104;1.40E+06;1.47E+06
0.12;1.40E+06;1.63E+06
0.136;1.40E+06;1.79E+06
0.152;1.40E+06;1.96E+06
0.168;1.40E+06;2.13E+06
0.184;1.40E+06;2.30E+06
0.2;1.40E+06;2.48E+06
-0.2;1.50E+06;561053
-0.184;1.50E+06;564725
-0.168;1.50E+06;568806
-0.152;1.50E+06;573295
-0.136;1.50E+06;578687
-0.12;1.50E+06;584833
-0.104;1.50E+06;592100
-0.088;1.50E+06;600772
-0.072;1.50E+06;611537
-0.056;1.50E+06;624912
-0.04;1.50E+06;642193
-0.024;1.50E+06;665364
-0.008;1.50E+06;697596
0.008;1.50E+06;744570
0.024;1.50E+06;815958
0.04;1.50E+06;921071
0.056;1.50E+06;1.05E+06
0.072;1.50E+06;1.18E+06
0.088;1.50E+06;1.33E+06
0.104;1.50E+06;1.48E+06
0.12;1.50E+06;1.64E+06
0.136;1.50E+06;1.80E+06
0.152;1.50E+06;1.96E+06
0.168;1.50E+06;2.13E+06
0.184;1.50E+06;2.31E+06
0.2;1.50E+06;2.48E+06
-0.2;1.60E+06;599741
-0.184;1.60E+06;603609
-0.168;1.60E+06;607877
-0.152;1.60E+06;612573
-0.136;1.60E+06;618203
-0.12;1.60E+06;624516
-0.104;1.60E+06;632006
-0.088;1.60E+06;640866
-0.072;1.60E+06;651712
-0.056;1.60E+06;665029
-0.04;1.60E+06;682001
-0.024;1.60E+06;704351
-0.008;1.60E+06;734703
0.008;1.60E+06;777718
0.024;1.60E+06;840992
0.04;1.60E+06;936556
0.056;1.60E+06;1.06E+06
0.072;1.60E+06;1.19E+06
0.088;1.60E+06;1.33E+06
0.104;1.60E+06;1.48E+06
0.12;1.60E+06;1.64E+06
0.136;1.60E+06;1.80E+06
0.152;1.60E+06;1.97E+06
0.168;1.60E+06;2.14E+06
0.184;1.60E+06;2.31E+06
0.2;1.60E+06;2.48E+06
-0.2;1.70E+06;638486
-0.184;1.70E+06;642563
-0.168;1.70E+06;646992
-0.152;1.70E+06;651910
-0.136;1.70E+06;657743
-0.12;1.70E+06;664237
-0.104;1.70E+06;671938
-0.088;1.70E+06;680988
-0.072;1.70E+06;691916
-0.056;1.70E+06;705198
-0.04;1.70E+06;721912
-0.024;1.70E+06;743536
-0.008;1.70E+06;772458
0.008;1.70E+06;812310
0.024;1.70E+06;869412
0.04;1.70E+06;954327
0.056;1.70E+06;1.07E+06
0.072;1.70E+06;1.20E+06
0.088;1.70E+06;1.34E+06
0.104;1.70E+06;1.49E+06
0.12;1.70E+06;1.64E+06
0.136;1.70E+06;1.81E+06
0.152;1.70E+06;1.97E+06
0.168;1.70E+06;2.14E+06
0.184;1.70E+06;2.31E+06
0.2;1.70E+06;2.49E+06
-0.2;1.80E+06;677343
-0.184;1.80E+06;681572
-0.168;1.80E+06;686137
-0.152;1.80E+06;691293
-0.136;1.80E+06;697309
-0.12;1.80E+06;703987
-0.104;1.80E+06;711894
-0.088;1.80E+06;721111
-0.072;1.80E+06;732131
-0.056;1.80E+06;745395
-0.04;1.80E+06;761954
-0.024;1.80E+06;783004
-0.008;1.80E+06;810609
0.008;1.80E+06;847980
0.024;1.80E+06;900170
0.04;1.80E+06;975401
0.056;1.80E+06;1.08E+06
0.072;1.80E+06;1.21E+06
0.088;1.80E+06;1.35E+06
0.104;1.80E+06;1.50E+06
0.12;1.80E+06;1.65E+06
0.136;1.80E+06;1.81E+06
0.152;1.80E+06;1.97E+06
0.168;1.80E+06;2.14E+06
0.184;1.80E+06;2.31E+06
0.2;1.80E+06;2.49E+06
-0.2;1.90E+06;716251
-0.184;1.90E+06;720636
-0.168;1.90E+06;725340
-0.152;1.90E+06;730713
-0.136;1.90E+06;736921
-0.12;1.90E+06;743766
-0.104;1.90E+06;751880
-0.088;1.90E+06;761221
-0.072;1.90E+06;772328
-0.056;1.90E+06;785606
-0.04;1.90E+06;802082
-0.024;1.90E+06;822673
-0.008;1.90E+06;849198
0.008;1.90E+06;884437
0.024;1.90E+06;932694
0.04;1.90E+06;1.00E+06
0.056;1.90E+06;1.10E+06
0.072;1.90E+06;1.22E+06
0.088;1.90E+06;1.36E+06
0.104;1.90E+06;1.50E+06
0.12;1.90E+06;1.66E+06
0.136;1.90E+06;1.82E+06
0.152;1.90E+06;1.98E+06
0.168;1.90E+06;2.15E+06
0.184;1.90E+06;2.32E+06
0.2;1.90E+06;2.49E+06
-0.2;2.00E+06;755215
-0.184;2.00E+06;759742
-0.168;2.00E+06;764576
-0.152;2.00E+06;770171
-0.136;2.00E+06;776576
-0.12;2.00E+06;783572
-0.104;2.00E+06;791871
-0.088;2.00E+06;801348
-0.072;2.00E+06;812538
-0.056;2.00E+06;825851
-0.04;2.00E+06;842212
-0.024;2.00E+06;862379
-0.008;2.00E+06;888037
0.008;2.00E+06;921514
0.024;2.00E+06;966587
0.04;2.00E+06;1.03E+06
0.056;2.00E+06;1.12E+06
0.072;2.00E+06;1.23E+06
0.088;2.00E+06;1.37E+06
0.104;2.00E+06;1.51E+06
0.12;2.00E+06;1.66E+06
0.136;2.00E+06;1.82E+06
0.152;2.00E+06;1.98E+06
0.168;2.00E+06;2.15E+06
0.184;2.00E+06;2.32E+06
0.2;2.00E+06;2.50E+06
-0.2;2.11E+06;794218
-0.184;2.11E+06;798875
-0.168;2.11E+06;803862
-0.152;2.11E+06;809706
-0.136;2.11E+06;816273
-0.12;2.11E+06;823415
-0.104;2.11E+06;831874
-0.088;2.11E+06;841511
-0.072;2.11E+06;852776
-0.056;2.11E+06;866145
-0.04;2.11E+06;882356
-0.024;2.11E+06;902144
-0.008;2.11E+06;927046
0.008;2.11E+06;959144
0.024;2.11E+06;1.00E+06
0.04;2.11E+06;1.06E+06
0.056;2.11E+06;1.14E+06
0.072;2.11E+06;1.25E+06
0.088;2.11E+06;1.38E+06
0.104;2.11E+06;1.52E+06
0.12;2.11E+06;1.67E+06
0.136;2.11E+06;1.83E+06
0.152;2.11E+06;1.99E+06
0.168;2.11E+06;2.16E+06
0.184;2.11E+06;2.33E+06
0.2;2.11E+06;2.50E+06
