#ux [mm]; Fy [N]; Fx [N]
-0.2; 250000; 88553.8
-0.18; 250000; 89365.1
-0.16; 250000; 90482.8
-0.14; 250000; 92020.4
-0.12; 250000; 94351.7
-0.1; 250000; 98401.9
-0.08; 250000; 107398
-0.06; 250000; 142140
-0.04; 250000; 236175
-0.02; 250000; 359889
0; 250000; 503947
0.02; 250000; 663586
0.04; 250000; 835724
0.06; 250000; 1.01736e+06
0.08; 250000; 1.20632e+06
0.1; 250000; 1.40285e+06
0.12; 250000; 1.60524e+06
0.14; 250000; 1.8123e+06
0.16; 250000; 2.02452e+06
0.18; 250000; 2.2408e+06
0.2; 250000; 2.46146e+06
0.22; 250000; 2.68659e+06
0.24; 250000; 2.91484e+06
0.26; 250000; 3.14754e+06
0.28; 250000; 3.38419e+06
0.3; 250000; 3.62303e+06
-0.2; 315000; 112251
-0.18; 315000; 113335
-0.16; 315000; 114704
-0.14; 315000; 116612
-0.12; 315000; 119390
-0.1; 315000; 123957
-0.08; 315000; 132933
-0.06; 315000; 158735
-0.04; 315000; 242783
-0.02; 315000; 363679
0; 315000; 506283
0.02; 315000; 665285
0.04; 315000; 836892
0.06; 315000; 1.0181e+06
0.08; 315000; 1.20722e+06
0.1; 315000; 1.40344e+06
0.12; 315000; 1.60559e+06
0.14; 315000; 1.81283e+06
0.16; 315000; 2.02477e+06
0.18; 315000; 2.24118e+06
0.2; 315000; 2.46185e+06
0.22; 315000; 2.68677e+06
0.24; 315000; 2.91522e+06
0.26; 315000; 3.14781e+06
0.28; 315000; 3.38433e+06
0.3; 315000; 3.62316e+06
-0.2; 380000; 136135
-0.18; 380000; 137453
-0.16; 380000; 139109
-0.14; 380000; 141330
-0.12; 380000; 144516
-0.1; 380000; 149537
-0.08; 380000; 158602
-0.06; 380000; 180374
-0.04; 380000; 251307
-0.02; 380000; 368463
0; 380000; 509291
0.02; 380000; 667377
0.04; 380000; 838250
0.06; 380000; 1.01901e+06
0.08; 380000; 1.20825e+06
0.1; 380000; 1.40413e+06
0.12; 380000; 1.60607e+06
0.14; 380000; 1.81343e+06
0.16; 380000; 2.02515e+06
0.18; 380000; 2.24164e+06
0.2; 380000; 2.46231e+06
